1	-	אופה	-	-	1	הַטַּבָּח אוֹפֶה אֶת הַחַלָּה מִדַּי שִׁישִּׁי.	הַטַּבָּחִית אוֹפָה אֶת הַחַלָּה מִדַּי שִׁישִּׁי.	-
2	-	הוגה	-	-	1	הַפִילוֹסוֹף הוֹגֶה אֶת רַעֲיוֹנוֹתָיו בִּזְמַן הַמִּקְלַחַת.	הַפִילוֹסוֹפִית הוֹגָה אֶת רַעֲיוֹנוֹתֶיהָ בִּזְמַן הַמִּקְלַחַת.	-
3	-	חוזה	-	-	1	הַקּוֹסֵם חוֹזֶה אֶת הֶעָתִיד.	הַקּוֹסֶמֶת חוֹזָה אֶת הֶעָתִיד.	-
4	-	מתחזה	-	-	1	אַלּוֹן מִתְחַזֶּה לְתַלְמִיד עַל מְנַת לְהִיכָּנֵס לְבֵית הַסֵּפֶר.	נוּרִית מִתְחַזָּה לְתַלְמִידָה עַל מְנַת לְהִיכָּנֵס לְבֵית הַסֵּפֶר.	-
5	-	כורה	-	-	1	יִפְתַּח כּוֹרֶה אֶת הַזָּהָב עֲבוּר הַתַּכְשִׁיטִים שֶׁלּוֹ.	עֵינָב כּוֹרָה אֶת הַזָּהָב עֲבוּר הַתַּכְשִׁיטִים שֶׁלָּהּ.	-
6	-	מתמחה	-	-	1	הוּא מִתְמַחֶה בְּכִירוּרְגִּיָּה כְּלָלִית כְּבָר שָׁנָה.	הִיא מִתְמַחָה בְּכִירוּרְגִּיָּה כְּלָלִית כְּבָר שָׁנָה.	-
7	-	מלווה	-	-	1	אֵיתָן מְלַוֶּוה אֶת הַשִּׁירָה בִּפְסַנְתֵּר.	אַיֶּילֶת מְלַוָּוה אֶת הַשִּׁירָה בִּפְסַנְתֵּר.	-
8	-	מתמנה	-	-	1	אֵלִי מִתְמַנֶּה לִהְיוֹת אַחְרַאי עַל כָּל הַחְלָטוֹת הַוַּועֲדָה.	רוֹנָה מִתְמַנָּה לִהְיוֹת אַחְרָאִית עַל הַחְלָטוֹת הַוַּועֲדָה.	-
9	-	שמנקה	-	-	1	הַיֶּלֶד שֶׁמְּנַקֶּה אֶת הַלּוּחַ פִסְפֵס חֵלֶק גָּדוֹל.	הַיַּלְדָּה שֶׁמְּנַקָּה אֶת הַלּוּחַ פִסְפְסָה חֵלֶק גָּדוֹל.	-
10	-	רוצה	-	-	1	הַיֶּלֶד רוֹצֶה סוּכָּרִיָּיה.	הַיַּלְדָּה רוֹצָה סוּכָּרִיָּיה.	-
11	-	מנסה	-	-	1	הַפְּסִיכוֹלוֹג מְנַסֶּה לַעֲזוֹר לַמְּטוּפָּל.	הַפְּסִיכוֹלוֹגִית מְנַסָּה לַעֲזוֹר לַמְּטוּפָּל.	-
12	-	מבזה	-	-	2	עוֹרֵךְ הַדִּין מְבַזֶּה אֶת בֵּית הַמִּשְׁפָּט.	עוֹרֶכֶת הַדִּין מְבַזָּה אֶת בֵּית הַמִּשְׁפָּט.	-
13	-	מגנה	-	-	2	רֹאשׁ הַמֶּמְשָׁלָה מְגַנֶּה אֶת הִתְנַהֲגוּת הַשָּׂרִים כְּשֶׁהוּא כּוֹעֵס.	רֹאשַׁת הַמֶּמְשָׁלָה מְגַנָּה אֶת הִתְנַהֲגוּת הַשָּׂרִים כְּשֶׁהִיא כּוֹעֶסֶת.	-
14	-	מתגרה	-	-	2	הָאָח הַגָּדוֹל מִתְגָּרֶה בְּאָחִיו הַקָּטָן.	הָאָחוֹת הַגְּדוֹלָה מִתְגָּרָה בְּאָחִיהָ הַקָּטָן.	-
15	-	מזדהה	-	-	2	הַמְּתַרְגֵּל לֹא מִזְדַּהֶה עִם סֵבֶל הַתַּלְמִידִים.	הַמְּתַרְגֶּלֶת לֹא מִזְדַּהָה עִם סֵבֶל הַתַּלְמִידִים.	-
16	-	חוצה	-	-	3	כְּשֶׁיּוֹנָתָן כּוֹעֵס הוּא חוֹצֶה כָּל גְּבוּל.	כְּשֶׁאַלּוֹנָה כּוֹעֶסֶת הִיא חוֹצָה כָּל גְּבוּל.	-
17	-	מתוודה	-	-	1	הָאָשֵׁם מִתְוַודֶּה עַל הַפֶּשַׁע.	הָאֲשֵׁמָה מִתְוַודָּה עַל הַפֶּשַׁע.	-
18	-	מכבה	-	-	1	הַכַּבַּאי מְכַבֶּה אֶת הַשְּׂרֵיפָה.	הַכַּבָּאִית מְכַבָּה אֶת הַשְּׂרֵיפָה.	-
19	-	מכסה	-	-	1	הֶחָתוּל מְכַסָּה אֶת צְרָכָיו.	הַחֲתוּלָה מְכַסָּה אֶת צְרָכֶיהָ.	-
20	-	ממרה	-	-	1	יָנִיב מַמְרֶה אֶת פִּי הוֹרָיו.	תָּמָרָה מַמְרָה אֶת פִּי הוֹרֶיהָ.	-
21	-	יאה	-	-	4	הַגֶּבֶר הִתְנַהֵג בְּאוֹפֶן לֹא יָאֶה.	הַגְּבֶרֶת הִתְנַהֲגָה בְּאוֹפֶן לֹא יָאֶה.	-
22	-	מנפה	-	-	1	הַטַּבָּח מְנַפֶּה אֶת הַסּוּכָּר.	הַטַּבָּחִית מְנַפָּה אֶת הַסּוּכָּר.	-
23	-	מתפנה	-	-	1	הַכֶּלֶב מִתְפַּנֶּה שָׁלוֹשׁ פְּעָמִים בְּיוֹם.	הַכַּלְבָּה מִתְפַּנָּה שָׁלוֹשׁ פְּעָמִים בְּיוֹם.	-
24	-	מתנסה	-	-	1	הָרַקְדָן מִתְנַסֶּה בְּסִגְנוֹנוֹת רִיקּוּד אֲחֵרִים.	הָרַקְדָנִית מִתְנַסָּה בְּסִגְנוֹנוֹת רִיקּוּד אֲחֵרִים.	-
25	-	מפרה	-	-	1	הָרוֹפֵא מַפְרֶה אֶת הַבֵּיצִית בְּמַבְחֵנָה.	הָרוֹפְאָה מַפְרָה אֶת הַבֵּיצִית בְּמַבְחֵנָה.	-
26	-	עוטה	-	-	1	הַגֶּבֶר עוֹטֶה אֶת מְעִילוֹ.	הַגְּבֶרֶת עוֹטָה אֶת מְעִילָהּ.	-
27	-	עושה	-	-	1	הוּא עוֹשֶׂה שְׁטוּיוֹת בְּמַעְבָּדָה.	הִיא עוֹשָׂה שְׁטוּיוֹת בְּמַעְבָּדָה.	-
28	-	מתפנה	-	-	1	עוֹדֵד מִתְפַּנֶּה בְּשֵׁירוּתֵי הַגְּבָרִים לְעִיתִּים תְּכוּפוֹת.	נוֹגַהּ מִתְפַּנָּה בְּשֵׁירוּתֵי הַנָּשִׁים לְעִיתִּים תְּכוּפוֹת.	-
29	-	פועה	-	-	1	הַפָּר פּוֹעֶה בַּלַּיְלָה.	הַפָּרָה פּוֹעָה בַּלַּיְלָה.	-
30	-	פורה	-	-	4	הַמּוֹרֶה מְנַהֵל בַּכִּיתָּה דִּיּוּן פּוֹרֶה.	הַמּוֹרָה מְנַהֶלֶת בְּכִיתָּה שִׂיחָה פּוֹרֶה.	-
31	-	מפתה	-	-	1	הַנָּחָשׁ מְפַתֶּה אֶת אָדָם.	חַוָּוה מְפַתֶּה אֶת אָדָם.	-
32	-	מצווה	-	-	1	הַמְּאַלֵּף מְצַוֶּוה עַל הַכֶּלֶב לָשֶׁבֶת.	הַמְּאַלֶּפֶת מְצַוָּוה עַל הַכֶּלֶב לָשֶׁבֶת.	-
33	-	מצפה	-	-	1	הַתַּלְמִיד מְצַפֶּה בְּכִילְיוֹן עֵינַיִים לַחוֹפֶשׁ הַגָּדוֹל.	הַתַּלְמִידָה מְצַפָּה בְּכִילְיוֹן עֵינַיִים לַחוֹפֶשׁ הַגָּדוֹל.	-
34	-	משנה	-	-	1	הַבָּחוּר מְשַׁנֶּה אֶת דַּעְתּוֹ בְּאוֹפֶן יוֹם יוֹמִי.	הַבַּחוּרָה מְשַׁנָּה אֶת דַּעְתָּהּ בְּאוֹפֶן יוֹם יוֹמִי.	-
35	-	מרמה	-	-	1	אָחִי מְרַמֶּה אוֹתִי לְעִיתִּים קְרוֹבוֹת בְּפוֹקֵר.	אֲחוֹתִי מְרַמָּה אוֹתִי לְעִיתִּים קְרוֹבוֹת בְּפוֹקֵר.	-
36	-	משלה	-	-	1	הַבָּחוּר מַשְׁלֶה אֶת הַבַּחוּרָה.	הַבַּחוּרָה מָשְׁלָה אֶת הַבָּחוּר.	-
37	-	משתנה	-	-	2	כָּל אֶחָד מִשְׁתַּנֶּה לְאוֹרֶךְ הַחַיִּים שֶׁלּוֹ.	כָּל אַחַת מִשְׁתַּנָּה לְאוֹרֶךְ הַחַיִּים שֶׁלָּהּ.	-
38	-	שותה	-	-	1	מָאוֹר שׁוֹתֶה מִכּוֹס הַיַּיִן שֶׁלְּפָנָיו.	הִילָּה שׁוֹתָה מִכּוֹס הַיַּיִן שֶׁלְּפָנֶיהָ.	-
39	-	טועה	-	-	2	הוּא לֹא טוֹעֶה כִּמְעַט אַף פַּעַם בְּמִבְחָנִים בְּמָתֵמָטִיקָה.	הִיא לֹא טוֹעָה כִּמְעַט אַף פַּעַם בְּמִבְחָנִים בְּמָתֵמָטִיקָה.	-
40	-	טווה	-	-	3	הֶחָתִיךְ הַנִּרְדָּם הָיָה טוֹוֶה זָהָב מַקָּשׁ.	הַיְּפֵהפִיָּה הַנִּרְדֶּמֶת הָיְיתָה טוֹוָה זָהָב מִקַּשׁ.	-
41	-	מתייפה	-	-	1	אֲנִי מִתְיַיפֶּה אֶל מוּל הַמַּרְאָה תּוֹךְ שֶׁאֲנִי מִתְאַפֵּר.	אֲנִי מִתְיַיפָּה אֶל מוּל הַמַּרְאֶה תּוֹךְ שֶׁאֲנִי מִתְאַפֶּרֶת.	-
42	-	ממפה	-	-	2	שַׂר הַבִּיטָּחוֹן מְמַפֶּה אֶת הָאִיּוּמִים עַל הַמְּדִינָה.	שָׂרַת הַבִּיטָּחוֹן מְמַפָּה אֶת הָאִיּוּמִים עַל הַמְּדִינָה.	-
43	-	מתחרה	-	-	1	הָאַבָּא מִתְחָרֶה עַל הָעוּגִיּוֹת.	הָאִמָּא מִתְחָרָה עַל הָעוּגִיּוֹת.	-
44	-	חונה	-	-	1	הַבּוֹחֵן חוֹנֶה בַּחֲנָיַית נָכִים.	הַבּוֹחֶנֶת חוֹנָה בַּחֲנָיַית נָכִים.	-
45	-	גאה	-	-	2	הַיֶּלֶד הָיָה גֵּאֶה בְּהֶשֵּׂגָיו בַּשָּׁנָה הָאַחֲרוֹנָה.	הִילָּה הָיְיתָה גֵּאָה בְּהֶשֵּׂגֶיהָ בַּשָּׁנָה הָאַחֲרוֹנָה.	-
