1	1	שלך	אֶמינֶה סֶבְגִי אוֹזדָמָר	איסטנבול שלי	11	מָאדָאם אַטִינָה חָפְנָה אֶת פָּנַיי בְּיָדֶיהָ וְאָמְרָה: "יַלְדִּי, עִם הָעֵינַיִים הַיָּפוֹת שֶׁלְּךָ אַתָּה עָתִיד לִשְׂרוֹף אֶת הַלֵּב לְהַרְבֵּה גְּבָרִים."	מָאדָאם אָטִינָה חָפְנָה אֶת פָּנַיי בְּיָדֶיהָ וְאָמְרָה: "יַלְדָּתִי, עִם הָעֵינַיִים הַיָּפוֹת שֶׁלָּךְ אֶת עֲתִידָה לִשְׂרוֹף אֶת הַלֵּב לְהַרְבֵּה גְּבָרִים."	2
2	4	לך	אדגר אלן פו	הלב המדובב	3	כְּלוּם לֹא אָמַרְתִּי לְךָ שְׁמָהּ שֶׁאַתָּה טוֹעֶה לִרְאוֹת בּוֹ שִׁיגָּעוֹן אֵינוֹ אֶלָּא חַדּוּת-יֶתֶר שֶׁל הַחוּשִׁים?	כְּלוּם לֹא אָמַרְתִּי לָךְ שְׁמָהּ שֶׁאַתְּ טוֹעֶה לִרְאוֹת בּוֹ שִׁיגָּעוֹן אֵינוֹ אֶלָּא חַדּוּת-יֶתֶר שֶׁל הַחוּשִׁים?	1
3	4	לעצמך	אדגר אלן פו	הלב המדובב	2	אַתָּה רוֹשֵׁם לְעַצְמְךָ?	אַתְּ רוֹשֶׁמֶת לְעַצְמֵךְ?	1
4	4	לך	אדגר אלן פו	הלב המדובב	9	רְאֵה כַּמָּה בְּרִיאָה הִיא דֶּרֶךְ סִיפּוּרִי, בְּאֵיזֶה קוֹר-רוּחַ אֲגוֹלֵל לְךָ אֶת הַסִּיפּוּר כּוּלּוֹ.	רְאִי כַּמָּה בְּרִיאָה הִיא דֶּרֶךְ סִיפּוּרִי, בְּאֵיזֶה קוֹר-רוּחַ אֲגוֹלֵל לָךְ אֶת הַסִּיפּוּר כּוּלּוֹ.	1
5	6	לך	אדגר אלן פו	נפילת בית אשר	1	אַל לְךָ – לֹא תֶּחֱזֶה בַּדָּבָר הַזֶּה!	אַל לָךְ – לֹא תַּחֲזִי בַּדָּבָר הַזֶּה!	1
6	8	לך	אדוארדו ברטי	יומנה של קוראת עיתונים	2	לֹא סִיפַּרְתִּי לְךָ כְּדֵי שֶׁלֹּא תִּדְאַג.	לֹא סִיפַּרְתִּי לָךְ כְּדֵי שֶׁלֹּא תִּדְאֲגִי.	1
7	9	אותך	אדוארדו חלפון	המתאגרף הפולני	2	לָמָּה מִינּוּ אוֹתְךָ לִהְיוֹת הָאַחְרַאי?	לָמָּה מִינּוּ אוֹתָךְ לִהְיוֹת הָאַחְרָאִית?	1
8	9	אותך	אדוארדו חלפון	המתאגרף הפולני	12	הֵבַנְתִּי אֶת הַשְּׁאֵלָה שֶׁמּוּסְוֵוית בַּשְּׁאֵלָה הַזֹּאת: מָה הָיִיתָ צָרִיךְ לַעֲשׂוֹת כְּדֵי שֶׁיְּמַנּוּ אוֹתְךָ לְאַחְרַאי?	הֵבַנְתִּי אֶת הַשְּׁאֵלָה שֶׁמּוּסְוֵוית בַּשְּׁאֵלָה הַזֹּאת: מָה הָיִית צְרִיכָה לַעֲשׂוֹת כְּדֵי שֶׁיִּמְנוּ אוֹתָךְ לְאַחְרָאִית?	1
9	10	לך	אדית נסביט	משחררי הממלכה	10	תּוּכַל לָתֵת לִי שִׁשָּׁה פֵּנִי, אַבָּא, אָמְרָה אֵפִי, "כִּי הֵבֵאתִי לְךָ מִין חָדָשׁ."	תּוּכְלִי לָתֵת לִי שִׁשָּׁה פֵּנִי, אִמָּא, אָמְרָה אֵפִי, "כִּי הֵבֵאתִי לָךְ מִין חָדָשׁ."	1
10	10	לך	אדית נסביט	משחררי הממלכה	1	אֶתֵּן לְךָ חֲצִי כֶּתֶר תְּמוּרָתוֹ, הָאֲרִי בָּחוּרִי, אָמַר בִּמְהִירוּת רַבָּה, וְאָז אָסַף אוֹתוֹ בִּזְהִירוּת בְּמִטְפַּחְתּוֹ.	אֶתֵּן לָךְ חֲצִי כֶּתֶר תְּמוּרָתוֹ, בֶּרְטָה נַעֲרָתִי, אָמַר בִּמְהִירוּת רַבָּה, וְאָז אָסַף אוֹתוֹ בִּזְהִירוּת בְּמִטְפַּחְתּוֹ.	1
11	10	לך	אדית נסביט	משחררי הממלכה	10	הממ, אָמַר הָארִי, שֶׁהִצְטַעֵר שֶׁלֹּא חָשַׁב עַל כָּךְ בְּעַצְמוֹ, "יֵשׁ לְךָ קְצָת הִגָּיוֹן לִפְעָמִים, יַחֲסִית לְבֵן."	הממ, אָמַר הָארִי, שֶׁהִצְטַעֵר שֶׁלֹּא חָשַׁב עַל כָּךְ בְּעַצְמוֹ, "יֵשׁ לָךְ קְצָת הִגָּיוֹן לִפְעָמִים, יַחֲסִית לְבַת."	2
