1	1	אֶמינֶה סֶבְגִי אוֹזדָמָר	איסטנבול שלי	רוצה	גברתי, אם את לא יודעת לאן את רוצה לנסוע, למה נכנסת למונית שלי?	אֲדוֹנִי, אִם אַתָּה לֹא יוֹדֵעַ לְאָן אַתָּה רוֹצֶה לִנְסוֹעַ, לָמָּה נִכְנַסְתָּ לַמּוֹנִית שֶׁלִּי?	גְּבִרְתִּי, אִם אַתְּ לֹא יוֹדַעַת לְאָן אַתְּ רוֹצָה לִנְסוֹעַ, לָמָּה נִכְנַסְתְּ לַמּוֹנִית שֶׁלִּי?	2
2	1	אֶמינֶה סֶבְגִי אוֹזדָמָר	איסטנבול שלי	רוצה	האחר התרגז ואמר: "מה פתאום אתה נותן לי שלוש לירות, אני רוצה לירה אחת."	הָאַחֵר הִתְרַגֵּז וְאָמַר: "מָה פִּתְאוֹם אַתָּה נוֹתֵן לִי שָׁלוֹשׁ לִירוֹת, אֲנִי רוֹצֶה לִירָה אַחַת."	הָאַחֶרֶת הִתְרַגְּזָה וְאָמְרָה: "מָה פִּתְאוֹם אַתְּ נוֹתֶנֶת לִי שָׁלוֹשׁ לִירוֹת, אֲנִי רוֹצָה לִירָה אַחַת."	1
3	2	אָישָה דה לה קרוס	Famous Blue Raincoat	רואה	החתימה עומדת בניגוד אכזרי לנימה של המכתב עצמו, וגם כך, הוא לא רואה בה שמץ של אירוניה.	הַחֲתִימָה עוֹמֶדֶת בְּנִיגּוּד אַכְזָרִי לַנִּימָה שֶׁל הַמִּכְתָּב עַצְמוֹ, וְגַם כָּךְ, הוּא לֹא רוֹאֶה בָּהּ שֶׁמֶץ שֶׁל אִירוֹנְיָה.	הַחֲתִימָה עוֹמֶדֶת בְּנִיגּוּד אַכְזָרִי לַנִּימָה שֶׁל הַמִּכְתָּב עַצְמוֹ, וְגַם כָּךְ, הִיא לֹא רוֹאָה בָּהּ שֶׁמֶץ שֶׁל אִירוֹנְיָה.	1
4	2	אָישָה דה לה קרוס	Famous Blue Raincoat	רוצה	כשהם יחד בקרוואן המחסור במרחב מחייה בלתי נסבל, והוא רק רוצה שהיא תתפוגג.	כְּשֶׁהֵם יַחַד בַּקָּרָוָואן הַמַּחְסוֹר בַּמֶּרְחָב מִחְיָיה בִּלְתִּי נִסְבָּל, וְהוּא רַק רוֹצֶה שֶׁהִיא תִּתְפּוֹגֵג.	כְּשֶׁהֵם יַחַד בַּקָּרָוָואן הַמַּחְסוֹר בַּמֶּרְחָב מִחְיָיה בִּלְתִּי נִסְבָּל, וְהִיא רַק רוֹצָה שֶׁהוּא יִתְפּוֹגֵג.	1
5	2	אָישָה דה לה קרוס	Famous Blue Raincoat	רוצה	הוא רוצה לברוח משם, אבל משהו בצורות המעוינות שמקשטות את הקשקשים שלו מהפנט ומונע ממנו להתיק את מבטו.	הוּא רוֹצֶה לִבְרוֹחַ מִשָּׁם, אֲבָל מַשֶּׁהוּ בְּצוּרוֹת הַמְּעוּיָּנוֹת שֶׁמְּקַשְּׁטוֹת אֶת הַקַּשְׂקַשִּׂים שֶׁלּוֹ מְהַפְּנֵט וּמוֹנֵעַ מִמֶּנּוּ לְהַתִּיק אֶת מַבָּטוֹ.	הִיא רוֹצָה לִבְרוֹחַ מִשָּׁם, אֲבָל מַשֶּׁהוּ בַּצּוּרוֹת הַמְּעוּיָּנוֹת שֶׁמְּקַשְּׁטוֹת אֶת הַקַּשְׂקַשִּׂים שֶׁלּוֹ מְהַפְּנֵט וּמוֹנֵעַ מִמֶּנָּה לְהַתִּיק אֶת מַבָּטָהּ.	1
6	3	אדגר אלן פו	הבור והמטוטלת	חולה	בקומי הרגשתי חולה וחלש עד מאוד – הו, עד כלות כל הכוחות!	בַּקּוּמִי הִרְגַּשְׁתִּי חוֹלֶה וְחַלָּשׁ עַד מְאוֹד – הוֹ, עַד כְּלוֹת כָּל הַכּוֹחוֹת!	בְּקוּמִי הִרְגַּשְׁתִּי חוֹלָה וְחַלָּשָׁה עַד מְאוֹד – הוֹ, עַד כְּלוֹת כָּל הַכּוֹחוֹת!	1
7	4	אדגר אלן פו	הלב המדובב	טועה	כלום לא אמרתי לך שמה שאתה טועה לראות בו שיגעון אינו אלא חדות-יתר של החושים?	כְּלוּם לֹא אָמַרְתִּי לְךָ שְׁמָהּ שֶׁאַתָּה טוֹעֶה לִרְאוֹת בּוֹ שִׁיגָּעוֹן אֵינוֹ אֶלָּא חַדּוֹת-יֶתֶר שֶׁל הַחוּשִׁים?	כְּלוּם לֹא אָמַרְתִּי לָךְ שְׁמָהּ שֶׁאַתְּ טוֹעָה לִרְאוֹת בּוֹ שִׁיגָּעוֹן אֵינוֹ אֶלָּא חַדּוֹת-יֶתֶר שֶׁל הַחוּשִׁים?	1
8	6	אדגר אלן פו	נפילת בית אשר	בוהה	ברגעים אחרים נמצאתי זוקף הכול לגחמותיו הסתומות של השיגעון, כי ראיתיו בוהה לריק במשך שעות ארוכות, וכל-כולו דרוך כאילו היה מאזין לאיזה צליל דמיוני.	כִּי רְאִיתִיו בּוֹהֶה לָרִיק בְּמֶשֶׁךְ שָׁעוֹת אֲרוּכּוֹת, וְכָל-כּוּלּוֹ דָּרוּךְ כְּאִילּוּ הָיָה מַאֲזִין לְאֵיזֶה צְלִיל דִּמְיוֹנִי.	כִּי רְאִיתִיהָ בּוֹהָה לָרִיק בְּמֶשֶׁךְ שָׁעוֹת אֲרוּכּוֹת, וְכָל-כּוּלָּהּ דְּרוּכָה כְּאִילּוּ הָיְיתָה מַאֲזִינָה לְאֵיזֶה צְלִיל דִּמְיוֹנִי.	1
9	7	אדהם עאדל	כליון	בוכה	כעבור חודשים ספורים הופיע במערה, לבדו, תינוק בוכה, אוחז בידיו תליון קטן בצבע כסף, חלוד בשוליו, שחיסל את מה שנותר מהאנושות.	כַּעֲבוֹר חוֹדָשִׁים סְפוּרִים הוֹפִיעַ בַּמְּעָרָה, לְבַדּוֹ, תִּינוֹק בּוֹכֶה, אוֹחֵז בְּיָדָיו תִּלְיוֹן קָטָן בְּצֶבַע כֶּסֶף, חָלוּד בְּשׁוּלָיו, שֶׁחִיסֵּל אֶת מָה שֶׁנּוֹתַר מֵהָאֱנוֹשׁוּת.	כַּעֲבוֹר חוֹדָשִׁים סְפוּרִים הוֹפִיעָה בַּמְּעָרָה, לְבַדָּהּ, תִּינוֹקֶת בּוֹכָה, אוֹחֶזֶת בְּיָדֶיהָ תִּלְיוֹן קָטָן בְּצֶבַע כֶּסֶף, חָלוּד בְּשׁוּלָיו, שֶׁחִיסֵּל אֶת מָה שֶׁנּוֹתַר מֵהָאֱנוֹשׁוּת.	1
10	8	אדוארדו ברטי	יומנה של קוראת עיתונים	רוצה	האמת, אני לא יודעת אם התעצבנתי בגלל מה שסיפרה לי או כי אתמול היה יום ראשון ואני לא רוצה שיפריעו לי בסופי שבוע.	הָאֱמֶת, אֲנִי לֹא יוֹדֵעַ אִם הִתְעַצְבַּנְתִּי בִּגְלַל מָה שֶׁסִּיפֵּר לִי אוֹ כִּי אֶתְמוֹל הָיָה יוֹם רִאשׁוֹן וַאֲנִי לֹא רוֹצֶה שֶׁיַּפְרִיעוּ לִי בְּסוֹפֵי שָׁבוּעַ.	הָאֱמֶת, אֲנִי לֹא יוֹדַעַת אִם הִתְעַצְבַּנְתִּי בִּגְלַל מָה שֶׁסִּיפְּרָה לִי אוֹ כִּי אֶתְמוֹל הָיָה יוֹם רִאשׁוֹן וַאֲנִי לֹא רוֹצָה שֶׁיַּפְרִיעוּ לִי בְּסוֹפֵי שָׁבוּעַ.	2
